assay,chrom,w_mono,w_triso,mu_A,mu_R,mu_T,target_div,pop_id
a984,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.005994842503189409,7690000.0,p49203
a984,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.005994842503189409,7690000.0,p49204
a984,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.005994842503189409,7690000.0,p49205
a984,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.005994842503189409,7690000.0,p49206
a984,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.005994842503189409,7690000.0,p49207
a984,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.005994842503189409,7690000.0,p49208
a984,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.005994842503189409,7690000.0,p49209
a984,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.005994842503189409,7690000.0,p49210
a984,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.005994842503189409,7690000.0,p49211
a984,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.005994842503189409,7690000.0,p49212
a984,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.005994842503189409,7690000.0,p49213
a984,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.005994842503189409,7690000.0,p49214
a984,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.005994842503189409,7690000.0,p49215
a984,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.005994842503189409,7690000.0,p49216
a984,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.005994842503189409,7690000.0,p49217
a984,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.005994842503189409,7690000.0,p49218
a984,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.005994842503189409,7690000.0,p49219
a984,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.005994842503189409,7690000.0,p49220
a984,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.005994842503189409,7690000.0,p49221
a984,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.005994842503189409,7690000.0,p49222
