assay,n_rep,monosome_fitness,monosome_rate,revert_rate,n_gen
a1154,36,0.007071067776566521,4.641588833612773e-06,4.641588833612772e-05,23
a1155,36,0.007071067776566521,4.641588833612773e-06,0.00021544346900318823,23
a1156,36,0.007071067776566521,4.641588833612773e-06,0.001,23
a1157,36,0.007071067776566521,4.641588833612773e-06,0.004641588833612773,23
a1158,36,0.007071067776566521,4.641588833612773e-06,0.021544346900318822,23
a1159,36,0.007071067776566521,4.641588833612773e-06,0.1,23
a1160,36,0.007071067776566521,9.999999999999999e-06,1e-07,21
a1161,36,0.007071067776566521,9.999999999999999e-06,4.641588833612782e-07,21
a1162,36,0.007071067776566521,9.999999999999999e-06,2.1544346900318822e-06,21
a1163,36,0.007071067776566521,9.999999999999999e-06,9.999999999999999e-06,21
a1164,36,0.007071067776566521,9.999999999999999e-06,4.641588833612772e-05,21
a1165,36,0.007071067776566521,9.999999999999999e-06,0.00021544346900318823,21
a1166,36,0.007071067776566521,9.999999999999999e-06,0.001,21
a1167,36,0.007071067776566521,9.999999999999999e-06,0.004641588833612773,21
a1168,36,0.007071067776566521,9.999999999999999e-06,0.021544346900318822,21
a1169,36,0.007071067776566521,9.999999999999999e-06,0.1,21
a1170,36,0.007071067776566521,2.1544346900318823e-05,1e-07,20
a1171,36,0.007071067776566521,2.1544346900318823e-05,4.641588833612782e-07,20
a1172,36,0.007071067776566521,2.1544346900318823e-05,2.1544346900318822e-06,20
a1173,36,0.007071067776566521,2.1544346900318823e-05,9.999999999999999e-06,20
a1174,36,0.007071067776566521,2.1544346900318823e-05,4.641588833612772e-05,20
a1175,36,0.007071067776566521,2.1544346900318823e-05,0.00021544346900318823,20
a1176,36,0.007071067776566521,2.1544346900318823e-05,0.001,20
a1177,36,0.007071067776566521,2.1544346900318823e-05,0.004641588833612773,20
a1178,36,0.007071067776566521,2.1544346900318823e-05,0.021544346900318822,20
a1179,36,0.007071067776566521,2.1544346900318823e-05,0.1,20
a1180,36,0.007071067776566521,4.641588833612772e-05,1e-07,19
a1181,36,0.007071067776566521,4.641588833612772e-05,4.641588833612782e-07,19
a1182,36,0.007071067776566521,4.641588833612772e-05,2.1544346900318822e-06,19
a1183,36,0.007071067776566521,4.641588833612772e-05,9.999999999999999e-06,19
a1184,36,0.007071067776566521,4.641588833612772e-05,4.641588833612772e-05,19
a1185,36,0.007071067776566521,4.641588833612772e-05,0.00021544346900318823,19
a1186,36,0.007071067776566521,4.641588833612772e-05,0.001,19
a1187,36,0.007071067776566521,4.641588833612772e-05,0.004641588833612773,19
a1188,36,0.007071067776566521,4.641588833612772e-05,0.021544346900318822,19
a1189,36,0.007071067776566521,4.641588833612772e-05,0.1,19
a1190,36,0.007071067776566521,0.0001,1e-07,18
a1191,36,0.007071067776566521,0.0001,4.641588833612782e-07,18
a1192,36,0.007071067776566521,0.0001,2.1544346900318822e-06,18
a1193,36,0.007071067776566521,0.0001,9.999999999999999e-06,18
a1194,36,0.007071067776566521,0.0001,4.641588833612772e-05,18
a1195,36,0.007071067776566521,0.0001,0.00021544346900318823,18
a1196,36,0.007071067776566521,0.0001,0.001,18
a1197,36,0.007071067776566521,0.0001,0.004641588833612773,18
a1198,36,0.007071067776566521,0.0001,0.021544346900318822,18
a1199,36,0.007071067776566521,0.0001,0.1,18
a1200,36,0.0499999995007974,1e-07,1e-07,25
a1201,36,0.0499999995007974,1e-07,4.641588833612782e-07,25
a1202,36,0.0499999995007974,1e-07,2.1544346900318822e-06,25
a1203,36,0.0499999995007974,1e-07,9.999999999999999e-06,25
a1204,36,0.0499999995007974,1e-07,4.641588833612772e-05,25
a1205,36,0.0499999995007974,1e-07,0.00021544346900318823,25
a1206,36,0.0499999995007974,1e-07,0.001,25
a1207,36,0.0499999995007974,1e-07,0.004641588833612773,25
a1208,36,0.0499999995007974,1e-07,0.021544346900318822,25
a1209,36,0.0499999995007974,1e-07,0.1,25
a1210,36,0.0499999995007974,2.1544346900318822e-07,1e-07,25
a1211,36,0.0499999995007974,2.1544346900318822e-07,4.641588833612782e-07,25
a1212,36,0.0499999995007974,2.1544346900318822e-07,2.1544346900318822e-06,25
a1213,36,0.0499999995007974,2.1544346900318822e-07,9.999999999999999e-06,25
a1214,36,0.0499999995007974,2.1544346900318822e-07,4.641588833612772e-05,25
a1215,36,0.0499999995007974,2.1544346900318822e-07,0.00021544346900318823,25
a1216,36,0.0499999995007974,2.1544346900318822e-07,0.001,25
a1217,36,0.0499999995007974,2.1544346900318822e-07,0.004641588833612773,25
a1218,36,0.0499999995007974,2.1544346900318822e-07,0.021544346900318822,25
a1219,36,0.0499999995007974,2.1544346900318822e-07,0.1,25
a1220,36,0.0499999995007974,4.641588833612782e-07,1e-07,25
a1221,36,0.0499999995007974,4.641588833612782e-07,4.641588833612782e-07,25
a1222,36,0.0499999995007974,4.641588833612782e-07,2.1544346900318822e-06,25
a1223,36,0.0499999995007974,4.641588833612782e-07,9.999999999999999e-06,25
a1224,36,0.0499999995007974,4.641588833612782e-07,4.641588833612772e-05,25
a1225,36,0.0499999995007974,4.641588833612782e-07,0.00021544346900318823,25
a1226,36,0.0499999995007974,4.641588833612782e-07,0.001,25
a1227,36,0.0499999995007974,4.641588833612782e-07,0.004641588833612773,25
a1228,36,0.0499999995007974,4.641588833612782e-07,0.021544346900318822,25
a1229,36,0.0499999995007974,4.641588833612782e-07,0.1,25
a1230,36,0.0499999995007974,1e-06,1e-07,25
a1231,36,0.0499999995007974,1e-06,4.641588833612782e-07,25
a1232,36,0.0499999995007974,1e-06,2.1544346900318822e-06,25
a1233,36,0.0499999995007974,1e-06,9.999999999999999e-06,25
a1234,36,0.0499999995007974,1e-06,4.641588833612772e-05,25
a1235,36,0.0499999995007974,1e-06,0.00021544346900318823,25
a1236,36,0.0499999995007974,1e-06,0.001,25
a1237,36,0.0499999995007974,1e-06,0.004641588833612773,25
a1238,36,0.0499999995007974,1e-06,0.021544346900318822,25
a1239,36,0.0499999995007974,1e-06,0.1,25
a1240,36,0.0499999995007974,2.1544346900318822e-06,1e-07,24
a1241,36,0.0499999995007974,2.1544346900318822e-06,4.641588833612782e-07,24
a1242,36,0.0499999995007974,2.1544346900318822e-06,2.1544346900318822e-06,24
a1243,36,0.0499999995007974,2.1544346900318822e-06,9.999999999999999e-06,24
a1244,36,0.0499999995007974,2.1544346900318822e-06,4.641588833612772e-05,24
a1245,36,0.0499999995007974,2.1544346900318822e-06,0.00021544346900318823,24
a1246,36,0.0499999995007974,2.1544346900318822e-06,0.001,24
a1247,36,0.0499999995007974,2.1544346900318822e-06,0.004641588833612773,24
a1248,36,0.0499999995007974,2.1544346900318822e-06,0.021544346900318822,24
a1249,36,0.0499999995007974,2.1544346900318822e-06,0.1,24
a1250,36,0.0499999995007974,4.641588833612773e-06,1e-07,23
a1251,36,0.0499999995007974,4.641588833612773e-06,4.641588833612782e-07,23
a1252,36,0.0499999995007974,4.641588833612773e-06,2.1544346900318822e-06,23
a1253,36,0.0499999995007974,4.641588833612773e-06,9.999999999999999e-06,23
a1254,36,0.0499999995007974,4.641588833612773e-06,4.641588833612772e-05,23
a1255,36,0.0499999995007974,4.641588833612773e-06,0.00021544346900318823,23
a1256,36,0.0499999995007974,4.641588833612773e-06,0.001,23
a1257,36,0.0499999995007974,4.641588833612773e-06,0.004641588833612773,23
a1258,36,0.0499999995007974,4.641588833612773e-06,0.021544346900318822,23
a1259,36,0.0499999995007974,4.641588833612773e-06,0.1,23
a1260,36,0.0499999995007974,9.999999999999999e-06,1e-07,21
a1261,36,0.0499999995007974,9.999999999999999e-06,4.641588833612782e-07,21
a1262,36,0.0499999995007974,9.999999999999999e-06,2.1544346900318822e-06,21
a1263,36,0.0499999995007974,9.999999999999999e-06,9.999999999999999e-06,21
a1264,36,0.0499999995007974,9.999999999999999e-06,4.641588833612772e-05,21
a1265,36,0.0499999995007974,9.999999999999999e-06,0.00021544346900318823,21
a1266,36,0.0499999995007974,9.999999999999999e-06,0.001,21
a1267,36,0.0499999995007974,9.999999999999999e-06,0.004641588833612773,21
a1268,36,0.0499999995007974,9.999999999999999e-06,0.021544346900318822,21
a1269,36,0.0499999995007974,9.999999999999999e-06,0.1,21
a1270,36,0.0499999995007974,2.1544346900318823e-05,1e-07,20
a1271,36,0.0499999995007974,2.1544346900318823e-05,4.641588833612782e-07,20
a1272,36,0.0499999995007974,2.1544346900318823e-05,2.1544346900318822e-06,20
a1273,36,0.0499999995007974,2.1544346900318823e-05,9.999999999999999e-06,20
a1274,36,0.0499999995007974,2.1544346900318823e-05,4.641588833612772e-05,20
a1275,36,0.0499999995007974,2.1544346900318823e-05,0.00021544346900318823,20
a1276,36,0.0499999995007974,2.1544346900318823e-05,0.001,20
a1277,36,0.0499999995007974,2.1544346900318823e-05,0.004641588833612773,20
a1278,36,0.0499999995007974,2.1544346900318823e-05,0.021544346900318822,20
a1279,36,0.0499999995007974,2.1544346900318823e-05,0.1,20
a1280,36,0.0499999995007974,4.641588833612772e-05,1e-07,19
a1281,36,0.0499999995007974,4.641588833612772e-05,4.641588833612782e-07,19
a1282,36,0.0499999995007974,4.641588833612772e-05,2.1544346900318822e-06,19
a1283,36,0.0499999995007974,4.641588833612772e-05,9.999999999999999e-06,19
a1284,36,0.0499999995007974,4.641588833612772e-05,4.641588833612772e-05,19
a1285,36,0.0499999995007974,4.641588833612772e-05,0.00021544346900318823,19
a1286,36,0.0499999995007974,4.641588833612772e-05,0.001,19
a1287,36,0.0499999995007974,4.641588833612772e-05,0.004641588833612773,19
a1288,36,0.0499999995007974,4.641588833612772e-05,0.021544346900318822,19
a1289,36,0.0499999995007974,4.641588833612772e-05,0.1,19
a1290,36,0.0499999995007974,0.0001,1e-07,18
a1291,36,0.0499999995007974,0.0001,4.641588833612782e-07,18
a1292,36,0.0499999995007974,0.0001,2.1544346900318822e-06,18
a1293,36,0.0499999995007974,0.0001,9.999999999999999e-06,18
a1294,36,0.0499999995007974,0.0001,4.641588833612772e-05,18
a1295,36,0.0499999995007974,0.0001,0.00021544346900318823,18
a1296,36,0.0499999995007974,0.0001,0.001,18
a1297,36,0.0499999995007974,0.0001,0.004641588833612773,18
a1298,36,0.0499999995007974,0.0001,0.021544346900318822,18
a1299,36,0.0499999995007974,0.0001,0.1,18
