assay,rep,monosome_fitness,monosome_rate,revert_rate,n_gen,pop_id
a1010,20,0.001,2.1544346900318822e-07,1e-07,25,p36380
a1010,21,0.001,2.1544346900318822e-07,1e-07,25,p36381
a1010,22,0.001,2.1544346900318822e-07,1e-07,25,p36382
a1010,23,0.001,2.1544346900318822e-07,1e-07,25,p36383
a1010,24,0.001,2.1544346900318822e-07,1e-07,25,p36384
a1010,25,0.001,2.1544346900318822e-07,1e-07,25,p36385
a1010,26,0.001,2.1544346900318822e-07,1e-07,25,p36386
a1010,27,0.001,2.1544346900318822e-07,1e-07,25,p36387
a1010,28,0.001,2.1544346900318822e-07,1e-07,25,p36388
a1010,29,0.001,2.1544346900318822e-07,1e-07,25,p36389
a1010,30,0.001,2.1544346900318822e-07,1e-07,25,p36390
a1010,31,0.001,2.1544346900318822e-07,1e-07,25,p36391
a1010,32,0.001,2.1544346900318822e-07,1e-07,25,p36392
a1010,33,0.001,2.1544346900318822e-07,1e-07,25,p36393
a1010,34,0.001,2.1544346900318822e-07,1e-07,25,p36394
a1010,35,0.001,2.1544346900318822e-07,1e-07,25,p36395
a1011,0,0.001,2.1544346900318822e-07,4.641588833612782e-07,25,p36396
a1011,1,0.001,2.1544346900318822e-07,4.641588833612782e-07,25,p36397
a1011,2,0.001,2.1544346900318822e-07,4.641588833612782e-07,25,p36398
a1011,3,0.001,2.1544346900318822e-07,4.641588833612782e-07,25,p36399
a1011,4,0.001,2.1544346900318822e-07,4.641588833612782e-07,25,p36400
a1011,5,0.001,2.1544346900318822e-07,4.641588833612782e-07,25,p36401
a1011,6,0.001,2.1544346900318822e-07,4.641588833612782e-07,25,p36402
a1011,7,0.001,2.1544346900318822e-07,4.641588833612782e-07,25,p36403
a1011,8,0.001,2.1544346900318822e-07,4.641588833612782e-07,25,p36404
a1011,9,0.001,2.1544346900318822e-07,4.641588833612782e-07,25,p36405
a1011,10,0.001,2.1544346900318822e-07,4.641588833612782e-07,25,p36406
